BarIndex,Time,MacroState,ActiveDirection,SequencePhase,SequenceAuthority,MaturityLevel,DominanceScore,DegradationScore,BalanceScore,TransitionScore,AmbiguityScore,SFCStatus,ExpectedNextBehavior,InvalidationCondition
854,"2026-05-18 17:15:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.359,0.963,0.007,0.688,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
855,"2026-05-18 17:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.330,0.886,0.006,0.633,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
856,"2026-05-18 17:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.304,0.815,0.006,0.583,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
857,"2026-05-18 17:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.329,0.900,0.005,0.636,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
858,"2026-05-18 17:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.303,0.828,0.005,0.585,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
859,"2026-05-18 17:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.279,0.761,0.004,0.538,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
860,"2026-05-18 17:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.256,0.701,0.004,0.495,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
861,"2026-05-18 17:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.286,0.794,0.004,0.556,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
862,"2026-05-18 17:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.263,0.731,0.003,0.511,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
863,"2026-05-18 18:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.292,0.822,0.003,0.570,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
864,"2026-05-18 18:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.269,0.757,0.003,0.525,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
865,"2026-05-18 18:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.297,0.846,0.003,0.583,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
866,"2026-05-18 18:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.323,0.928,0.002,0.636,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
867,"2026-05-18 18:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.297,0.854,0.002,0.585,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
868,"2026-05-18 18:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.274,0.786,0.002,0.538,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
869,"2026-05-18 18:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.302,0.873,0.002,0.595,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
870,"2026-05-18 18:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.328,0.953,0.002,0.648,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
871,"2026-05-18 18:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.301,0.877,0.002,0.596,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
872,"2026-05-18 18:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.277,0.807,0.001,0.548,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
873,"2026-05-18 18:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.305,0.892,0.001,0.604,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
874,"2026-05-18 18:55:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.331,0.971,0.001,0.656,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
875,"2026-05-18 19:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.304,0.893,0.001,0.603,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
876,"2026-05-18 19:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.280,0.822,0.001,0.555,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
877,"2026-05-18 19:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.258,0.756,0.001,0.511,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
878,"2026-05-18 19:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.287,0.845,0.001,0.570,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
879,"2026-05-18 19:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.314,0.928,0.001,0.624,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
880,"2026-05-18 19:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.289,0.854,0.001,0.574,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
881,"2026-05-18 19:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.266,0.785,0.001,0.528,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
882,"2026-05-18 19:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.294,0.872,0.001,0.586,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
883,"2026-05-18 19:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.321,0.953,0.001,0.639,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
884,"2026-05-18 19:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.295,0.876,0.001,0.588,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
885,"2026-05-18 19:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.272,0.806,0.000,0.541,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
886,"2026-05-18 19:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.250,0.742,0.000,0.498,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
887,"2026-05-18 20:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.280,0.833,0.000,0.558,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
888,"2026-05-18 20:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.258,0.766,0.000,0.513,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
889,"2026-05-18 20:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.237,0.705,0.000,0.472,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
890,"2026-05-18 20:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.218,0.648,0.000,0.434,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
891,"2026-05-18 20:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.251,0.746,0.000,0.500,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
892,"2026-05-18 20:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.280,0.837,0.000,0.560,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
893,"2026-05-18 20:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.258,0.770,0.000,0.515,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
894,"2026-05-18 20:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.237,0.708,0.000,0.474,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
895,"2026-05-18 20:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.268,0.802,0.000,0.536,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
896,"2026-05-18 20:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.247,0.737,0.000,0.493,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
897,"2026-05-18 20:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.227,0.678,0.000,0.454,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
898,"2026-05-18 20:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.259,0.774,0.000,0.517,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
899,"2026-05-18 21:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.238,0.712,0.000,0.476,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
900,"2026-05-18 21:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.219,0.655,0.000,0.438,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
901,"2026-05-18 21:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.252,0.753,0.000,0.503,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
902,"2026-05-18 21:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.232,0.693,0.000,0.463,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
903,"2026-05-18 21:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.213,0.637,0.000,0.426,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
904,"2026-05-18 21:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.246,0.736,0.000,0.492,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
905,"2026-05-18 21:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.226,0.677,0.000,0.452,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
906,"2026-05-18 21:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.208,0.623,0.000,0.416,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
907,"2026-05-18 21:40:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.192,0.573,0.000,0.383,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
908,"2026-05-18 21:45:00","Unresolved","Up","TwoR",0.900,"Resolved",0.840,0.636,0.827,0.130,0.702,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
909,"2026-05-18 21:50:00","Balance","Up","TwoR",0.900,"Resolved",0.903,0.585,0.761,0.120,0.646,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
910,"2026-05-18 21:55:00","Unresolved","Up","TwoR",0.900,"Resolved",0.931,0.588,0.850,0.110,0.694,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
911,"2026-05-18 22:00:00","Balance","Up","TwoR",0.900,"Resolved",0.986,0.541,0.782,0.101,0.639,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
912,"2026-05-18 22:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.498,0.720,0.093,0.588,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
913,"2026-05-18 22:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.458,0.662,0.086,0.541,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
914,"2026-05-18 22:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.422,0.609,0.079,0.497,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
915,"2026-05-18 22:20:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.388,0.560,0.073,0.458,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
916,"2026-05-18 22:25:00","Unresolved","Up","TwoR",0.900,"Resolved",0.870,0.767,0.666,0.197,0.671,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
917,"2026-05-18 22:30:00","Unresolved","Up","TwoR",0.900,"Resolved",0.900,0.755,0.762,0.181,0.717,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
918,"2026-05-18 22:35:00","Unresolved","Up","TwoR",0.900,"Resolved",0.928,0.745,0.851,0.167,0.760,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
919,"2026-05-18 22:40:00","Unresolved","Up","TwoR",0.900,"Resolved",0.954,0.735,0.933,0.153,0.799,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
920,"2026-05-18 22:45:00","Unresolved","Up","TwoR",0.900,"Resolved",0.978,0.727,1.000,0.141,0.835,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
921,"2026-05-18 22:50:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.718,1.000,0.130,0.868,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
922,"2026-05-18 22:55:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.711,1.000,0.119,0.899,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
923,"2026-05-18 23:00:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.654,0.920,0.110,0.827,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
924,"2026-05-18 23:05:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.602,0.846,0.101,0.761,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
925,"2026-05-18 23:10:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.604,0.929,0.093,0.800,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
926,"2026-05-18 23:15:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.555,0.854,0.085,0.736,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
927,"2026-05-18 23:20:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.561,0.936,0.079,0.777,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
928,"2026-05-18 23:25:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.516,0.861,0.072,0.715,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
929,"2026-05-18 23:30:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.475,0.792,0.067,0.658,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
930,"2026-05-18 23:35:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.487,0.879,0.061,0.705,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
931,"2026-05-18 23:40:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.498,0.959,0.056,0.749,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
932,"2026-05-18 23:45:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.458,0.882,0.052,0.689,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
933,"2026-05-18 23:50:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.471,0.961,0.048,0.734,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
934,"2026-05-18 23:55:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.484,1.000,0.044,0.775,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
935,"2026-05-19 00:00:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.495,1.000,0.040,0.813,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
936,"2026-05-19 00:05:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.505,1.000,0.037,0.848,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
937,"2026-05-19 00:10:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.465,0.920,0.034,0.780,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
938,"2026-05-19 00:15:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.478,0.996,0.031,0.818,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
939,"2026-05-19 00:20:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.490,1.000,0.029,0.852,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
940,"2026-05-19 00:25:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.450,0.920,0.027,0.784,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
941,"2026-05-19 00:30:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.464,0.996,0.024,0.821,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
942,"2026-05-19 00:35:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.427,0.917,0.023,0.756,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
943,"2026-05-19 00:40:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.393,0.843,0.021,0.695,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
944,"2026-05-19 00:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.362,0.776,0.019,0.640,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
945,"2026-05-19 00:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.333,0.714,0.018,0.588,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
946,"2026-05-19 00:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.356,0.807,0.016,0.641,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
947,"2026-05-19 01:00:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.378,0.892,0.015,0.690,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
948,"2026-05-19 01:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.347,0.821,0.014,0.635,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
949,"2026-05-19 01:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.320,0.755,0.013,0.584,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
950,"2026-05-19 01:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.294,0.695,0.012,0.537,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
951,"2026-05-19 01:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.320,0.789,0.011,0.594,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
952,"2026-05-19 01:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.295,0.726,0.010,0.547,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
953,"2026-05-19 01:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.271,0.668,0.009,0.503,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
954,"2026-05-19 01:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.300,0.764,0.008,0.563,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
955,"2026-05-19 01:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.326,0.853,0.008,0.618,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
956,"2026-05-19 01:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.300,0.785,0.007,0.568,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
957,"2026-05-19 01:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.276,0.722,0.006,0.523,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
958,"2026-05-19 01:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.304,0.814,0.006,0.581,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
959,"2026-05-19 02:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.329,0.899,0.005,0.635,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
960,"2026-05-19 02:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.303,0.827,0.005,0.584,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
961,"2026-05-19 02:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.329,0.911,0.005,0.637,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
962,"2026-05-19 02:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.302,0.838,0.004,0.586,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
963,"2026-05-19 02:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.278,0.771,0.004,0.539,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
964,"2026-05-19 02:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.306,0.860,0.004,0.596,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
965,"2026-05-19 02:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.281,0.791,0.003,0.548,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
966,"2026-05-19 02:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.259,0.728,0.003,0.505,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
967,"2026-05-19 02:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.288,0.819,0.003,0.564,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
968,"2026-05-19 02:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.265,0.754,0.003,0.519,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
969,"2026-05-19 02:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.294,0.843,0.002,0.578,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
970,"2026-05-19 02:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.270,0.776,0.002,0.531,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
971,"2026-05-19 03:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.249,0.714,0.002,0.489,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
972,"2026-05-19 03:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.279,0.807,0.002,0.550,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
